id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3,difficulty,lat,lon,image_url
1,Cubbon Park,Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Lush green lung of the city.,"It's a well-known park, popular for morning walks.","Visitors flock here for morning walks, relaxation, photography -- a well-loved spot in Bengaluru district.",Category: Park,Known for: Lush green lung of the city,"Popular activities: Morning walks, Relaxation, Photography",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Cubbon_Park_W.jpg/500px-Cubbon_Park_W.jpg
4,Tipu Sultan's Summer Palace,Bengaluru,"Somewhere in Karnataka, this palace holds a story worth uncovering.",Indo-Islamic architecture.,"It's a well-known palace, popular for history tour.","Visitors flock here for history tour, museum visit, photography -- a well-loved spot in Bengaluru district.",Category: Palace,Known for: Indo-Islamic architecture,"Popular activities: History tour, Museum visit, Photography",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tippu_Sultan%27s_Summer_palace.jpg/500px-Tippu_Sultan%27s_Summer_palace.jpg
7,Bull Temple,Bengaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Dravidian style temple with a huge Nandi idol.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, architecture appreciation -- a well-loved spot in Bengaluru district.",Category: Temple,Known for: Dravidian style temple with a huge Nandi idol,"Popular activities: Religious visit, Architecture appreciation",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Dodda_Ganeshana_Gudi_Hindu_temple%2C_Basavanagudi%2C_Karnataka%2C_India.jpg/500px-Dodda_Ganeshana_Gudi_Hindu_temple%2C_Basavanagudi%2C_Karnataka%2C_India.jpg
10,UB City,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Luxury mall and business district.,"It's a well-known attraction, popular for shopping.","Visitors flock here for shopping, fine dining, nightlife -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Luxury mall and business district,"Popular activities: Shopping, Fine dining, Nightlife",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/UBtowers.jpg/500px-UBtowers.jpg
13,Visvesvaraya Industrial & Technological Museum,Bengaluru,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Science museum.,"It's a well-known museum, popular for interactive exhibits.","Visitors flock here for interactive exhibits, educational tours -- a well-loved spot in Bengaluru district.",Category: Museum,Known for: Science museum,"Popular activities: Interactive exhibits, Educational tours",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Visvesvaraya_Industrial_and_Technological_Museum%2C_Bangalore_%282025%29_02.jpg/500px-Visvesvaraya_Industrial_and_Technological_Museum%2C_Bangalore_%282025%29_02.jpg
16,Nandi Hills,Bengaluru,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Ancient hill fortress and scenic viewpoint.,"It's a well-known fort, popular for sunrise viewing.","Visitors flock here for sunrise viewing, cycling, paragliding -- a well-loved spot in Bengaluru district.",Category: Fort,Known for: Ancient hill fortress and scenic viewpoint,"Popular activities: Sunrise viewing, Cycling, Paragliding",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Sunrise_at_Nandi_Hills.jpg/500px-Sunrise_at_Nandi_Hills.jpg
19,Dodda Aalada Mara (Big Banyan Tree),Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Huge 400-year-old banyan tree.,"It's a well-known attraction, popular for picnic.","Visitors flock here for picnic, relaxation, photography -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Huge 400-year-old banyan tree,"Popular activities: Picnic, Relaxation, Photography",easy,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Dodda_Alada_Mara_banyan_8.jpg/500px-Dodda_Alada_Mara_banyan_8.jpg
2,Bengaluru Palace,Bengaluru,"Somewhere in Karnataka, this palace holds a story worth uncovering.",Tudor-style architecture and royal history.,"It's a well-known palace, popular for history tour.","Visitors flock here for history tour, photography, event attending -- a well-loved spot in Bengaluru district.",Category: Palace,Known for: Tudor-style architecture and royal history,"Popular activities: History tour, Photography, Event attending",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Bangalore_Mysore_Maharaja_Palace.jpg/500px-Bangalore_Mysore_Maharaja_Palace.jpg
5,Vidhana Soudha,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Neo-Dravidian style legislative building.,"It's a well-known attraction, popular for architecture appreciation.","Visitors flock here for architecture appreciation, photography (exterior only) -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Neo-Dravidian style legislative building,"Popular activities: Architecture appreciation, Photography (exterior only)",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Vidhana_Soudha_2012.jpg/500px-Vidhana_Soudha_2012.jpg
8,Bannerghatta Biological Park,Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.","Zoo, safari, and butterfly park.","It's a well-known park, popular for wildlife safari.","Visitors flock here for wildlife safari, butterfly conservatory visit, boating -- a well-loved spot in Bengaluru district.",Category: Park,"Known for: Zoo, safari, and butterfly park","Popular activities: Wildlife safari, Butterfly conservatory visit, Boating",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Bengal_Tiger_In_Bannerghatta_Bengaluru.jpg/500px-Bengal_Tiger_In_Bannerghatta_Bengaluru.jpg
11,HAL Aerospace Museum,Bengaluru,"Somewhere in Karnataka, this museum holds a story worth uncovering.",India's first aerospace museum.,"It's a well-known museum, popular for history of aviation.","Visitors flock here for history of aviation, aircraft viewing, simulator rides -- a well-loved spot in Bengaluru district.",Category: Museum,Known for: India's first aerospace museum,"Popular activities: History of aviation, Aircraft viewing, Simulator rides",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/HAL_Museum_Bengaluru.jpg/500px-HAL_Museum_Bengaluru.jpg
14,Innovator's Nest (Formerly Innovative Film City),Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Theme park and film studio.,"It's a well-known park, popular for film studio tour.","Visitors flock here for film studio tour, theme park rides, cartoon city -- a well-loved spot in Bengaluru district.",Category: Park,Known for: Theme park and film studio,"Popular activities: Film studio tour, Theme park rides, Cartoon city",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Dravidian_map.svg/500px-Dravidian_map.svg.png
17,Shivagange,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Sacred mountain shaped like a Shiva lingam.,"It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, trekking, rock climbing -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Sacred mountain shaped like a Shiva lingam,"Popular activities: Pilgrimage, Trekking, Rock climbing",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Shivagange_Basavanna.JPG/500px-Shivagange_Basavanna.JPG
20,Ramadevara Betta (Sholay Hill),Bengaluru,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Famous for being the filming location of Sholay.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, rock climbing, photography -- a well-loved spot in Bengaluru district.",Category: Hill/Viewpoint,Known for: Famous for being the filming location of Sholay,"Popular activities: Trekking, Rock climbing, Photography",medium,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ramadevarabetta.jpg/500px-Ramadevarabetta.jpg
3,Lal Bagh Botanical Garden,Bengaluru,"Somewhere in Karnataka, this garden holds a story worth uncovering.",Botanical garden with a glass house.,"It's a well-known garden, popular for flower shows.","Visitors flock here for flower shows, nature walks, photography -- a well-loved spot in Bengaluru district.",Category: Garden,Known for: Botanical garden with a glass house,"Popular activities: Flower shows, Nature walks, Photography",hard,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Glasshouse_and_fountain_at_lalbagh.jpg/500px-Glasshouse_and_fountain_at_lalbagh.jpg
6,ISKCON Temple Bangalore,Bengaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hare Krishna temple with modern architecture.,"It's a well-known temple, popular for spiritual visit.","Visitors flock here for spiritual visit, prasadam tasting, cultural events -- a well-loved spot in Bengaluru district.",Category: Temple,Known for: Hare Krishna temple with modern architecture,"Popular activities: Spiritual visit, Prasadam tasting, Cultural events",hard,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ISKCON_Banglaore_Temple.jpg/500px-ISKCON_Banglaore_Temple.jpg
9,Wonderla Amusement Park,Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Theme park with thrilling rides.,"It's a well-known park, popular for rides.","Visitors flock here for rides, water games, family fun -- a well-loved spot in Bengaluru district.",Category: Park,Known for: Theme park with thrilling rides,"Popular activities: Rides, Water games, Family fun",hard,12.9716,77.5946,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Wonderla%20Amusement%20Park
12,National Gallery of Modern Art,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Art gallery with contemporary Indian art.,"It's a well-known attraction, popular for art appreciation.","Visitors flock here for art appreciation, exhibitions -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Art gallery with contemporary Indian art,"Popular activities: Art appreciation, Exhibitions",hard,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/National_Gallery_of_Modern_Art_logo_%282025%29.png/500px-National_Gallery_of_Modern_Art_logo_%282025%29.png
15,Devanahalli Fort,Bengaluru,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Birthplace of Tipu Sultan.,"It's a well-known fort, popular for history tour.","Visitors flock here for history tour, photography, heritage walk -- a well-loved spot in Bengaluru district.",Category: Fort,Known for: Birthplace of Tipu Sultan,"Popular activities: History tour, Photography, Heritage walk",hard,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Hills_and_Clouds_near_Doddaballapura.jpg/500px-Hills_and_Clouds_near_Doddaballapura.jpg
18,Nrityagram,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Gurukul for Indian classical dance forms.,"It's a well-known attraction, popular for dance performances.","Visitors flock here for dance performances, cultural workshops -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Gurukul for Indian classical dance forms,"Popular activities: Dance performances, Cultural workshops",hard,12.9716,77.5946,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Entrance_to_the_Nrityagram_Dance_Community.jpg/500px-Entrance_to_the_Nrityagram_Dance_Community.jpg
