id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3
1,Cubbon Park,Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Lush green lung of the city.,"It's a well-known park, popular for morning walks.","Visitors flock here for morning walks, relaxation, photography -- a well-loved spot in Bengaluru district.",Category: Park,Known for: Lush green lung of the city,"Popular activities: Morning walks, Relaxation, Photography"
2,Bengaluru Palace,Bengaluru,"Somewhere in Karnataka, this palace holds a story worth uncovering.",Tudor-style architecture and royal history.,"It's a well-known palace, popular for history tour.","Visitors flock here for history tour, photography, event attending -- a well-loved spot in Bengaluru district.",Category: Palace,Known for: Tudor-style architecture and royal history,"Popular activities: History tour, Photography, Event attending"
3,Lal Bagh Botanical Garden,Bengaluru,"Somewhere in Karnataka, this garden holds a story worth uncovering.",Botanical garden with a glass house.,"It's a well-known garden, popular for flower shows.","Visitors flock here for flower shows, nature walks, photography -- a well-loved spot in Bengaluru district.",Category: Garden,Known for: Botanical garden with a glass house,"Popular activities: Flower shows, Nature walks, Photography"
4,Tipu Sultan's Summer Palace,Bengaluru,"Somewhere in Karnataka, this palace holds a story worth uncovering.",Indo-Islamic architecture.,"It's a well-known palace, popular for history tour.","Visitors flock here for history tour, museum visit, photography -- a well-loved spot in Bengaluru district.",Category: Palace,Known for: Indo-Islamic architecture,"Popular activities: History tour, Museum visit, Photography"
5,Vidhana Soudha,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Neo-Dravidian style legislative building.,"It's a well-known attraction, popular for architecture appreciation.","Visitors flock here for architecture appreciation, photography (exterior only) -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Neo-Dravidian style legislative building,"Popular activities: Architecture appreciation, Photography (exterior only)"
6,ISKCON Temple Bangalore,Bengaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hare Krishna temple with modern architecture.,"It's a well-known temple, popular for spiritual visit.","Visitors flock here for spiritual visit, prasadam tasting, cultural events -- a well-loved spot in Bengaluru district.",Category: Temple,Known for: Hare Krishna temple with modern architecture,"Popular activities: Spiritual visit, Prasadam tasting, Cultural events"
7,Bull Temple,Bengaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Dravidian style temple with a huge Nandi idol.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, architecture appreciation -- a well-loved spot in Bengaluru district.",Category: Temple,Known for: Dravidian style temple with a huge Nandi idol,"Popular activities: Religious visit, Architecture appreciation"
8,Bannerghatta Biological Park,Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.","Zoo, safari, and butterfly park.","It's a well-known park, popular for wildlife safari.","Visitors flock here for wildlife safari, butterfly conservatory visit, boating -- a well-loved spot in Bengaluru district.",Category: Park,"Known for: Zoo, safari, and butterfly park","Popular activities: Wildlife safari, Butterfly conservatory visit, Boating"
9,Wonderla Amusement Park,Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Theme park with thrilling rides.,"It's a well-known park, popular for rides.","Visitors flock here for rides, water games, family fun -- a well-loved spot in Bengaluru district.",Category: Park,Known for: Theme park with thrilling rides,"Popular activities: Rides, Water games, Family fun"
10,UB City,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Luxury mall and business district.,"It's a well-known attraction, popular for shopping.","Visitors flock here for shopping, fine dining, nightlife -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Luxury mall and business district,"Popular activities: Shopping, Fine dining, Nightlife"
11,HAL Aerospace Museum,Bengaluru,"Somewhere in Karnataka, this museum holds a story worth uncovering.",India's first aerospace museum.,"It's a well-known museum, popular for history of aviation.","Visitors flock here for history of aviation, aircraft viewing, simulator rides -- a well-loved spot in Bengaluru district.",Category: Museum,Known for: India's first aerospace museum,"Popular activities: History of aviation, Aircraft viewing, Simulator rides"
12,National Gallery of Modern Art,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Art gallery with contemporary Indian art.,"It's a well-known attraction, popular for art appreciation.","Visitors flock here for art appreciation, exhibitions -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Art gallery with contemporary Indian art,"Popular activities: Art appreciation, Exhibitions"
13,Visvesvaraya Industrial & Technological Museum,Bengaluru,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Science museum.,"It's a well-known museum, popular for interactive exhibits.","Visitors flock here for interactive exhibits, educational tours -- a well-loved spot in Bengaluru district.",Category: Museum,Known for: Science museum,"Popular activities: Interactive exhibits, Educational tours"
14,Innovator's Nest (Formerly Innovative Film City),Bengaluru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Theme park and film studio.,"It's a well-known park, popular for film studio tour.","Visitors flock here for film studio tour, theme park rides, cartoon city -- a well-loved spot in Bengaluru district.",Category: Park,Known for: Theme park and film studio,"Popular activities: Film studio tour, Theme park rides, Cartoon city"
15,Devanahalli Fort,Bengaluru,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Birthplace of Tipu Sultan.,"It's a well-known fort, popular for history tour.","Visitors flock here for history tour, photography, heritage walk -- a well-loved spot in Bengaluru district.",Category: Fort,Known for: Birthplace of Tipu Sultan,"Popular activities: History tour, Photography, Heritage walk"
16,Nandi Hills,Bengaluru,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Ancient hill fortress and scenic viewpoint.,"It's a well-known fort, popular for sunrise viewing.","Visitors flock here for sunrise viewing, cycling, paragliding -- a well-loved spot in Bengaluru district.",Category: Fort,Known for: Ancient hill fortress and scenic viewpoint,"Popular activities: Sunrise viewing, Cycling, Paragliding"
17,Shivagange,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Sacred mountain shaped like a Shiva lingam.,"It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, trekking, rock climbing -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Sacred mountain shaped like a Shiva lingam,"Popular activities: Pilgrimage, Trekking, Rock climbing"
18,Nrityagram,Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Gurukul for Indian classical dance forms.,"It's a well-known attraction, popular for dance performances.","Visitors flock here for dance performances, cultural workshops -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Gurukul for Indian classical dance forms,"Popular activities: Dance performances, Cultural workshops"
19,Dodda Aalada Mara (Big Banyan Tree),Bengaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Huge 400-year-old banyan tree.,"It's a well-known attraction, popular for picnic.","Visitors flock here for picnic, relaxation, photography -- a well-loved spot in Bengaluru district.",Category: Attraction,Known for: Huge 400-year-old banyan tree,"Popular activities: Picnic, Relaxation, Photography"
20,Ramadevara Betta (Sholay Hill),Bengaluru,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Famous for being the filming location of Sholay.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, rock climbing, photography -- a well-loved spot in Bengaluru district.",Category: Hill/Viewpoint,Known for: Famous for being the filming location of Sholay,"Popular activities: Trekking, Rock climbing, Photography"
21,Mysore Palace,Mysuru,"Somewhere in Karnataka, this palace holds a story worth uncovering.","Indo-Saracenic architecture, former seat of Wadiyars.","It's a well-known palace, popular for history tour.","Visitors flock here for history tour, photography, sound and light show -- a well-loved spot in Mysuru district.",Category: Palace,"Known for: Indo-Saracenic architecture, former seat of Wadiyars","Popular activities: History tour, Photography, Sound and light show"
22,Brindavan Gardens,Mysuru,"Somewhere in Karnataka, this garden holds a story worth uncovering.",Terraced gardens with musical fountains.,"It's a well-known garden, popular for musical fountain show.","Visitors flock here for musical fountain show, boating, evening strolls -- a well-loved spot in Mysuru district.",Category: Garden,Known for: Terraced gardens with musical fountains,"Popular activities: Musical fountain show, Boating, Evening strolls"
23,Chamundi Hills,Mysuru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hilltop temple with panoramic city views.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, viewpoint photography, trekking -- a well-loved spot in Mysuru district.",Category: Temple,Known for: Hilltop temple with panoramic city views,"Popular activities: Religious visit, Viewpoint photography, Trekking"
24,Mysore Zoo (Sri Chamarajendra Zoological Gardens),Mysuru,"Somewhere in Karnataka, this garden holds a story worth uncovering.",One of the oldest and best zoos in India.,"It's a well-known garden, popular for wildlife viewing.","Visitors flock here for wildlife viewing, animal conservation education -- a well-loved spot in Mysuru district.",Category: Garden,Known for: One of the oldest and best zoos in India,"Popular activities: Wildlife viewing, Animal conservation education"
25,St. Philomena's Church,Mysuru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.","Gothic-style cathedral, one of the tallest in Asia.","It's a well-known attraction, popular for architecture appreciation.","Visitors flock here for architecture appreciation, spiritual visit, photography -- a well-loved spot in Mysuru district.",Category: Attraction,"Known for: Gothic-style cathedral, one of the tallest in Asia","Popular activities: Architecture appreciation, Spiritual visit, Photography"
